_ (Å),Ion,Ei (eV),Ek (eV),Configurations,Terms,Ji - Jk,Type  (if not E1),Creation IP (eV),Observation References,Note
770.409,Ne VIII,0,16.093,1s22s - 1s22p,2S - 2P0,1/2 - 3/2,,207.27,Z97,
780.324,Ne VIII,0,15.889,1s22s - 1s22p,2S - 2P0,1/2 - 1/2,,207.27,Z97,
937.814,Ly_,0,13.221,1s - 6,2S -,1/2 -,,0,VB01,
949.742,Ly_,0,13.055,1s - 5,2S -,1/2 -,,0,VB01,
977.03,C III,0,12.69,1s22s2 - 1s22s2p,1S - 1P0,0 - 1,,24.38,Z97,
989.79,N III,0,12.526,2s22p - 2s2p2,2P0 - 2D,1/2 - 3/2,,29.6,Z97,
991.514,N III,0.022,12.526,2s22p - 2s2p2,2P0 - 2D,3/2 - 3/2,,29.6,Z97,
991.579,N III,0.022,12.525,2s22p - 2s2p2,2P0 - 2D,3/2 - 5/2,,29.6,Z97,
1025.722,Ly_,0,12.088,1s - 3,2S -,1/2 -,,0,VB01,
1031.912,O VI,0,12.015,1s22s - 1s22p,2S - 2Po,1/2-3/2,,113.9,VB01,
1037.613,O VI,0,11.949,1s22s - 1s22p,2S - 2Po,1/2-1/2,,113.9,VB01,
1066.66,Ar I,0,11.624,3s23p6 - 3s23p5(2P03/2)4s,1S - 2[3/2]0,0 - 1,,0,Z97,
1215.67,Ly_,0,10.199,1s - 2,2S -,1/2 -,,0,VB01,
1238.821,N V,0,10.008,1s22s - 1s22p,2S - 2Po,1/2-3/2,,77.47,FO87,
1242.804,N V,0,9.976,1s22s - 1s22p,2S - 2Po,1/2-1/2,,77.47,FO87,
1260.422,Si II,0,9.837,3s23p - 3s23d,2P0 - 2D,1/2 - 3/2,,8.15,LM04,
1264.73,Si II,0.036,9.839,3s23p - 3s23d,2P0 - 2D,3/2 - 5/2,,8.15,LM04,
1302.168,O I,0,9.521,2s22p4 - 2s22p3(4S0)3s,3P - 3S0,1-Feb,,0,VB01,
1334.532,C II,0,9.29,2s22p - 2s2p2,2P0 - 2D,1/2 - 3/2,,11.26,LM04,
1335.708,C II,0.008,9.29,2s22p - 2s2p2,2P0 - 2D,3/2 - 5/2,,11.26,LM04,
1393.755,Si IV,0,8.896,2p63s - 2p63p,2S - 2Po,1/2-3/2,,33.49,VB01,
1402.77,Si IV,0,8.839,2p63s - 2p63p,2S - 2Po,1/2-1/2,,33.49,VB01,
1486.496,N IV],0,8.341,1s22s2 - 1s22s2p,1S - 3P0,0 - 1,,47.45,FO87,
1548.187,C IV,0,8.008,1s22s - 1s22p,2S - 2Po,1/2-3/2,,47.89,,
1550.772,C IV,0,7.995,1s22s - 1s22p,2S - 2Po,1/2-1/2,,47.89,,
1640.42,He II,40.813,48.371,,,,,54.42,FO87,
1660.809,O III],0.014,7.479,2s22p2 - 2s2p3,3P - 5So,2-Jan,,35.12,FO87,
1666.15,O III],0.038,7.479,2s22p2 - 2s2p3,3P - 5So,2-Feb,,35.12,FO87,
1746.823,N III],0,7.098,2s22p - 2s2p2,2P0 - 4P,1/2-3/2,,29.6,VB01,
1748.656,N III],0,7.09,2s22p - 2s2p2,2P0 - 4P,1/2-1/2,,29.6,VB01,
1854.716,Al III,0,6.685,2p63s - 2p63p,2S - 2Po,1/2-3/2,,18.83,VB01,
1862.79,Al III,0,6.656,2p63s - 2p63p,2S - 2Po,1/2-1/2,,18.83,VB01,
1892.03,Si III],0,6.553,3s2 - 3s3p,1S - 3P0,,,16.35,D06,
1908.734,C III],0,6.496,1s22s2 - 1s22s2p,1S - 3P0,0 - 1,,24.38,FO87,
